team,G,wins,losses,win_pct,SRS,SOS,Unnamed: 8_level_1,wins,losses,Unnamed: 11_level_1,wins,losses,Unnamed: 14_level_1,wins,losses,Unnamed: 17_level_1,Tm.,Opp.,Unnamed: 20_level_1,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,year
Indiana,35,27,8,.771,19.59,6.90,,15,3,,17,0,,6,4,,2891,2447,,69.1,119.2,.338,.409,.612,54.9,54.8,9.9,9.8,.587,16.7,37.0,.248,2016
Iona,33,22,11,.667,3.59,-1.78,,16,4,,11,2,,8,6,,2628,2451,,72.5,109.5,.324,.440,.566,49.7,60.0,10.3,10.6,.538,15.4,29.2,.230,2016
Iowa,33,22,11,.667,17.01,8.71,,12,6,,13,2,,6,5,,2561,2287,,69.1,111.5,.330,.355,.546,50.6,57.7,9.7,12.5,.513,12.6,31.8,.237,2016
Iowa State,35,23,12,.657,16.93,10.16,,10,8,,14,2,,4,7,,2862,2625,,71.5,113.1,.261,.351,.590,49.7,53.1,8.6,9.8,.571,14.1,26.1,.183,2016
Kansas,38,33,5,.868,23.87,11.22,,15,3,,16,0,,7,3,,3089,2570,,69.7,115.1,.382,.330,.592,53.9,55.3,9.4,10.7,.564,15.5,32.3,.272,2016
Kentucky,36,27,9,.750,20.23,8.84,,13,5,,17,0,,4,7,,2861,2451,,68.1,115.6,.378,.310,.564,53.6,49.8,8.3,14.1,.535,13.3,37.3,.261,2016
Little Rock,35,30,5,.857,7.12,-1.76,,17,3,,14,0,,12,4,,2487,2129,,64.5,109.1,.315,.354,.553,50.1,50.9,10.1,9.6,.520,13.6,27.9,.229,2016
Maryland,36,27,9,.750,16.71,8.31,,12,6,,16,1,,4,6,,2725,2400,,67.3,112.1,.384,.381,.594,51.9,51.7,8.6,13.9,.555,16.6,28.6,.295,2016
Miami (FL),35,27,8,.771,18.52,10.69,,13,5,,15,1,,6,5,,2633,2359,,66.2,113.3,.407,.339,.582,51.7,48.3,9.3,9.1,.542,14.5,29.9,.305,2016
Michigan,36,23,13,.639,13.75,7.92,,10,8,,13,4,,4,6,,2656,2426,,65.7,111.9,.278,.440,.573,49.2,56.7,8.5,6.4,.546,13.1,24.7,.205,2016
Michigan State,35,29,6,.829,22.59,6.94,,13,5,,14,2,,7,3,,2793,2245,,66.8,118.6,.300,.356,.588,58.0,71.3,6.6,12.9,.563,14.6,37.0,.218,2016
Middle Tennessee,35,25,10,.714,2.66,-0.70,,13,5,,11,3,,8,5,,2539,2410,,69.1,104.7,.355,.354,.537,51.4,50.1,8.9,9.9,.518,15.0,29.1,.218,2016
North Carolina,40,33,7,.825,23.44,10.69,,14,4,,15,1,,6,5,,3311,2801,,70.2,118.0,.323,.268,.561,55.9,57.3,9.6,11.5,.526,12.7,40.3,.241,2016
Northern Iowa,36,23,13,.639,8.78,4.44,,11,7,,11,3,,6,8,,2475,2303,,64.1,106.2,.340,.427,.572,46.8,50.5,8.8,7.7,.535,14.2,17.6,.257,2016
Notre Dame,36,24,12,.667,14.10,9.57,,11,7,,14,2,,5,5,,2704,2541,,65.0,115.2,.329,.343,.573,51.1,49.4,8.4,10.1,.540,13.2,32.3,.244,2016
Oklahoma,37,29,8,.784,19.76,11.14,,12,6,,14,1,,7,5,,2948,2629,,71.0,111.0,.330,.407,.573,51.4,52.8,9.3,12.6,.543,15.8,31.0,.238,2016
Oregon,38,31,7,.816,18.05,8.64,,14,4,,18,0,,5,5,,2990,2614,,69.5,112.8,.406,.340,.562,52.4,49.7,10.4,15.3,.525,13.9,34.2,.291,2016
Oregon State,32,19,13,.594,10.39,9.26,,9,9,,12,3,,4,7,,2301,2244,,68.4,105.1,.373,.319,.530,48.3,53.3,10.8,9.7,.499,14.3,29.2,.250,2016
Pittsburgh,33,21,12,.636,15.47,8.75,,9,9,,15,4,,3,6,,2476,2220,,66.4,112.2,.357,.307,.551,55.2,62.3,7.3,10.0,.511,14.6,36.9,.269,2016
Providence,35,24,11,.686,11.94,8.46,,10,8,,13,4,,7,4,,2577,2455,,69.8,104.4,.373,.371,.523,49.4,62.4,9.3,8.9,.480,13.9,30.3,.270,2016
Purdue,35,26,9,.743,20.17,7.46,,12,6,,17,1,,5,5,,2726,2281,,67.8,113.7,.354,.358,.571,57.3,64.1,6.1,11.7,.536,14.9,34.9,.263,2016
Saint Joseph's,36,28,8,.778,12.10,4.93,,13,5,,12,4,,10,2,,2780,2522,,70.1,109.7,.374,.356,.548,51.9,54.7,7.3,9.2,.512,12.3,28.2,.268,2016
Seton Hall,34,25,9,.735,14.66,8.28,,12,6,,13,3,,7,4,,2522,2305,,70.7,104.5,.404,.297,.529,52.4,51.0,10.4,11.4,.498,16.4,34.7,.266,2016
South Dakota State,34,26,8,.765,5.44,-1.22,,12,4,,12,0,,8,7,,2591,2316,,68.8,110.8,.402,.367,.558,53.7,43.4,7.2,6.6,.515,14.7,32.5,.298,2016
Southern,35,22,13,.629,-7.68,-9.37,,11,7,,12,1,,6,10,,2534,2406,,69.5,104.2,.369,.298,.527,49.0,41.9,10.6,9.7,.496,14.0,28.9,.247,2016
Southern California,34,21,13,.618,13.52,7.64,,9,9,,16,2,,3,7,,2737,2537,,72.5,109.4,.351,.322,.549,51.1,51.3,8.6,12.5,.522,14.3,32.1,.237,2016
Stephen F. Austin,34,28,6,.824,9.23,-5.47,,18,0,,14,0,,9,4,,2728,2153,,69.6,115.2,.345,.365,.577,51.9,65.3,13.1,10.2,.545,14.8,34.6,.253,2016
Stony Brook,33,26,7,.788,3.75,-5.28,,14,2,,15,1,,11,5,,2515,2115,,67.8,112.0,.320,.300,.548,55.4,58.0,9.1,12.1,.524,14.2,36.0,.215,2016
Syracuse,37,23,14,.622,14.62,9.75,,9,9,,13,4,,3,8,,2589,2409,,64.9,106.7,.354,.421,.533,49.3,55.8,12.4,12.6,.501,15.3,33.4,.243,2016
Temple,33,21,12,.636,7.69,6.57,,14,4,,11,3,,8,4,,2267,2230,,65.8,102.4,.266,.375,.498,49.3,54.1,7.8,7.8,.470,11.8,29.1,.182,2016
Texas,33,20,13,.606,14.80,11.71,,11,7,,14,3,,5,5,,2355,2253,,66.8,106.1,.394,.361,.526,49.1,46.3,7.5,11.6,.494,13.2,30.7,.263,2016
Texas A&M,37,28,9,.757,18.45,8.45,,13,5,,17,1,,5,5,,2828,2458,,68.6,109.9,.381,.373,.542,53.0,61.8,10.1,10.5,.512,14.3,34.6,.256,2016
Texas Tech,32,19,13,.594,12.41,10.25,,9,9,,14,3,,3,7,,2305,2236,,66.7,106.7,.422,.304,.547,50.1,53.2,8.8,11.8,.500,15.5,31.2,.314,2016
Tulsa,32,20,12,.625,9.79,5.76,,12,6,,12,3,,6,5,,2356,2227,,68.8,106.1,.395,.363,.536,48.7,53.0,9.7,7.7,.503,13.6,27.8,.268,2016
UNC Asheville,34,22,12,.647,1.10,-3.25,,12,6,,11,3,,6,7,,2552,2313,,70.4,105.8,.410,.306,.541,51.5,47.0,12.9,9.0,.505,15.9,31.9,.284,2016
UNC Wilmington,33,25,8,.758,6.25,0.35,,14,4,,12,2,,8,5,,2620,2379,,71.3,110.0,.373,.332,.546,50.6,47.2,10.3,11.2,.512,13.5,32.2,.262,2016
Utah,36,27,9,.750,15.50,8.79,,13,5,,16,1,,5,5,,2778,2502,,67.7,112.5,.382,.373,.588,53.2,57.0,8.1,9.9,.557,16.0,30.2,.276,2016
Vanderbilt,33,19,14,.576,17.20,8.68,,11,7,,14,2,,3,9,,2506,2225,,69.2,109.0,.398,.380,.561,50.8,56.8,6.0,12.9,.529,14.7,27.2,.276,2016
Villanova,40,35,5,.875,24.08,9.71,,16,2,,15,1,,10,2,,3118,2543,,67.3,115.5,.341,.427,.597,51.2,58.7,10.4,9.7,.561,14.4,28.0,.267,2016
Virginia,37,29,8,.784,22.04,11.12,,13,5,,15,0,,5,6,,2626,2222,,61.5,115.0,.321,.284,.580,53.2,57.2,8.7,10.2,.548,13.2,29.8,.241,2016
Virginia Commonwealth,36,25,11,.694,13.83,4.35,,14,4,,15,2,,7,4,,2781,2440,,69.8,110.0,.322,.333,.539,52.0,51.0,12.2,9.8,.510,13.6,33.2,.223,2016
Weber State,35,26,9,.743,0.18,-5.13,,15,3,,13,1,,6,7,,2662,2344,,68.6,109.4,.436,.416,.585,52.6,52.5,7.2,7.7,.559,16.9,26.5,.294,2016
West Virginia,35,26,9,.743,21.61,9.78,,13,5,,13,2,,7,4,,2749,2335,,70.7,110.3,.462,.306,.536,56.1,54.1,13.8,8.5,.498,16.3,41.9,.311,2016
Wichita State,35,26,9,.743,17.39,4.24,,16,2,,14,1,,9,3,,2535,2066,,66.1,108.8,.380,.381,.531,53.1,56.4,10.9,11.6,.490,12.7,31.7,.272,2016
Wisconsin,35,22,13,.629,13.40,9.40,,12,6,,13,5,,6,5,,2373,2233,,64.1,105.1,.380,.342,.524,52.3,49.0,9.1,8.6,.485,14.6,33.0,.267,2016
Xavier,34,28,6,.824,18.58,8.43,,14,4,,15,1,,8,3,,2737,2392,,72.4,111.2,.417,.342,.556,54.9,59.1,10.0,8.4,.514,14.8,35.2,.305,2016
Yale,30,23,7,.767,9.08,-1.03,,13,1,,12,0,,9,6,,2248,1914,,66.9,111.5,.413,.309,.555,57.8,56.9,8.4,12.6,.526,16.4,39.4,.276,2016
Arizona,37,32,5,.865,18.25,7.63,,16,2,,15,1,,9,1,,2833,2440,,67.3,113.8,.405,.305,.580,55.1,51.3,8.1,8.8,.537,14.5,33.1,.310,2017
