team,G,wins,losses,win_pct,SRS,SOS,Unnamed: 8_level_1,wins,losses,Unnamed: 11_level_1,wins,losses,Unnamed: 14_level_1,wins,losses,Unnamed: 17_level_1,Tm.,Opp.,Unnamed: 20_level_1,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,year
Delaware,35,22,13,.629,0.32,-1.82,,10,8,,9,5,,8,5,,2568,2456,,68.0,107.2,.339,.388,.570,49.2,48.4,9.7,9.8,.536,16.3,26.9,.252,2022
Duke,39,32,7,.821,19.55,7.26,,16,4,,15,3,,9,2,,3122,2643,,68.2,117.0,.286,.357,.583,52.8,55.4,9.3,13.4,.557,13.0,31.6,.211,2022
Georgia State,29,18,11,.621,-1.11,-1.34,,9,5,,8,4,,6,5,,2049,1906,,68.6,101.7,.295,.371,.498,50.7,54.2,12.7,12.8,.461,14.1,33.9,.213,2022
Gonzaga,32,28,4,.875,25.46,4.50,,13,1,,16,0,,5,1,,2790,2119,,73.8,118.1,.306,.353,.608,55.7,55.3,8.7,13.4,.587,13.9,29.1,.219,2022
Houston,38,32,6,.842,22.55,6.47,,15,3,,16,1,,7,3,,2844,2233,,65.0,113.9,.290,.389,.551,54.9,58.5,12.2,17.1,.531,14.1,37.7,.193,2022
Illinois,33,23,10,.697,16.69,9.48,,15,5,,13,3,,7,4,,2456,2218,,67.9,108.8,.320,.426,.554,53.8,58.1,7.6,7.1,.525,15.5,33.1,.226,2022
Indiana,35,21,14,.600,12.71,8.08,,9,11,,14,4,,3,8,,2478,2316,,67.9,103.2,.335,.311,.538,51.8,56.6,8.2,14.1,.506,15.2,27.0,.234,2022
Iowa,36,26,10,.722,18.90,6.87,,12,8,,15,3,,6,6,,2995,2562,,70.3,117.5,.300,.393,.564,51.0,53.9,10.4,11.3,.533,11.1,32.2,.225,2022
Iowa State,35,22,13,.629,12.38,9.33,,7,11,,14,5,,4,6,,2296,2189,,67.2,96.9,.271,.377,.517,49.3,60.4,12.6,9.8,.491,17.9,28.4,.185,2022
Jacksonville State,32,21,11,.656,-0.19,-3.79,,13,3,,11,4,,9,5,,2353,2151,,66.9,108.6,.308,.428,.571,52.9,54.7,9.2,8.8,.549,16.9,29.5,.212,2022
Kansas,40,34,6,.850,22.28,11.30,,14,4,,16,1,,6,4,,3129,2690,,69.5,111.5,.323,.331,.567,53.4,53.6,8.9,10.9,.538,14.9,32.9,.232,2022
Kentucky,34,26,8,.765,20.90,8.02,,14,4,,18,0,,6,5,,2701,2263,,69.2,114.0,.280,.279,.559,56.9,53.3,9.7,11.1,.531,14.0,37.7,.203,2022
Longwood,33,26,7,.788,-0.35,-6.11,,15,1,,16,1,,7,5,,2499,2170,,67.8,110.8,.345,.369,.556,54.8,53.2,11.4,7.7,.521,15.1,34.2,.251,2022
Louisiana State,34,22,12,.647,17.45,8.30,,9,9,,15,2,,3,8,,2467,2156,,70.4,102.3,.334,.348,.531,51.5,49.0,15.5,14.6,.493,17.7,33.9,.244,2022
Loyola (IL),33,25,8,.758,13.39,2.93,,13,5,,12,2,,8,3,,2403,2029,,65.7,109.2,.313,.431,.583,52.1,57.5,10.4,7.3,.558,16.4,25.1,.223,2022
Marquette,32,19,13,.594,11.36,8.96,,11,8,,13,3,,4,7,,2369,2292,,71.6,102.7,.262,.418,.550,46.9,59.3,10.8,12.9,.521,15.5,22.5,.194,2022
Memphis,33,22,11,.667,14.67,7.86,,13,5,,13,2,,5,6,,2480,2255,,71.0,105.8,.378,.304,.555,54.3,58.7,11.8,16.2,.523,19.1,37.4,.262,2022
Miami (FL),37,26,11,.703,11.22,7.62,,14,6,,10,5,,10,2,,2736,2603,,67.8,108.6,.288,.355,.563,46.4,51.7,13.0,9.0,.533,12.7,22.4,.214,2022
Michigan,34,19,15,.559,14.26,11.02,,11,9,,10,5,,5,7,,2470,2360,,67.5,107.7,.294,.321,.554,54.1,52.6,7.0,8.6,.521,15.1,31.0,.219,2022
Michigan State,36,23,13,.639,13.18,9.96,,11,9,,12,3,,5,6,,2601,2485,,67.9,106.4,.299,.337,.553,53.0,60.2,8.4,13.6,.520,16.3,30.7,.224,2022
Montana State,35,27,8,.771,-0.26,-5.54,,16,4,,13,1,,9,6,,2679,2425,,69.5,108.9,.384,.373,.580,53.1,50.1,7.4,10.1,.541,16.3,27.3,.289,2022
Murray State,34,31,3,.912,9.87,-3.07,,18,0,,15,0,,11,1,,2690,2150,,68.3,115.5,.325,.377,.567,55.5,51.2,11.4,9.5,.542,14.1,35.8,.225,2022
New Mexico State,34,27,7,.794,7.11,1.24,,13,4,,13,2,,9,3,,2464,2197,,68.3,105.7,.341,.424,.554,55.1,53.5,7.3,12.2,.524,17.7,33.0,.239,2022
Norfolk State,31,24,7,.774,-3.91,-9.30,,12,2,,11,0,,7,6,,2302,1997,,70.7,105.0,.371,.356,.554,53.4,47.4,9.4,11.2,.522,17.3,30.7,.259,2022
North Carolina,39,29,10,.744,15.50,8.89,,15,5,,15,2,,8,3,,3038,2780,,70.3,109.7,.303,.381,.551,55.8,54.1,7.3,9.7,.515,14.2,31.8,.232,2022
Notre Dame,35,24,11,.686,11.87,7.01,,15,5,,14,1,,7,5,,2540,2349,,65.9,108.6,.267,.423,.571,50.2,53.8,7.8,4.8,.543,14.1,22.4,.201,2022
Ohio State,32,20,12,.625,14.17,9.08,,12,8,,13,3,,5,6,,2329,2166,,65.1,110.9,.334,.395,.578,52.0,48.8,6.9,12.8,.543,15.1,29.3,.253,2022
Providence,33,27,6,.818,13.08,7.75,,14,3,,16,1,,7,2,,2360,2184,,65.9,106.4,.370,.380,.540,52.2,54.1,7.5,9.7,.500,14.7,30.3,.269,2022
Purdue,37,29,8,.784,19.15,8.23,,14,6,,16,1,,5,5,,2936,2532,,66.7,117.8,.382,.392,.593,57.1,58.6,6.9,9.7,.565,15.0,35.2,.272,2022
Richmond,37,24,13,.649,7.07,4.48,,10,8,,11,4,,7,5,,2628,2532,,67.4,104.8,.310,.417,.542,47.6,57.4,11.2,6.3,.511,13.0,22.4,.223,2022
Rutgers,32,18,14,.563,8.78,6.81,,12,8,,14,3,,4,9,,2192,2129,,65.5,102.9,.262,.316,.525,51.4,58.8,10.6,11.7,.499,15.0,29.6,.184,2022
Saint Mary's,34,26,8,.765,14.82,6.58,,12,3,,16,0,,6,4,,2370,2061,,65.5,106.5,.240,.363,.556,53.4,51.6,10.6,6.6,.528,15.2,27.8,.182,2022
Saint Peter's,34,22,12,.647,2.96,-0.47,,14,6,,9,4,,7,7,,2277,2125,,66.7,99.7,.371,.303,.519,51.5,52.4,10.5,14.8,.480,17.2,31.3,.260,2022
San Diego State,32,23,9,.719,13.13,5.85,,13,4,,14,1,,5,5,,2093,1860,,65.3,99.0,.311,.308,.518,51.5,50.2,11.3,14.4,.487,16.8,29.5,.215,2022
San Francisco,34,24,10,.706,14.12,5.24,,10,6,,14,4,,7,2,,2630,2304,,70.9,108.7,.290,.453,.560,53.4,46.9,10.8,11.6,.537,15.6,30.2,.201,2022
Seton Hall,32,21,11,.656,12.75,8.52,,11,8,,13,3,,6,5,,2302,2125,,68.7,104.3,.312,.359,.521,51.8,40.8,10.2,13.8,.481,14.9,32.6,.235,2022
South Dakota State,35,30,5,.857,6.60,-3.77,,18,0,,14,0,,10,3,,3005,2561,,71.7,119.3,.333,.354,.627,52.7,49.0,8.5,6.9,.600,13.8,24.0,.253,2022
Southern California,34,26,8,.765,12.50,6.09,,14,6,,13,3,,9,3,,2461,2243,,67.5,106.5,.309,.322,.536,54.3,53.3,7.4,11.1,.512,15.3,33.5,.205,2022
Tennessee,35,27,8,.771,20.46,9.94,,14,4,,16,0,,6,5,,2571,2203,,68.6,106.2,.290,.402,.536,52.2,63.0,13.5,12.9,.507,15.2,32.5,.207,2022
Texas,34,22,12,.647,17.01,8.87,,10,8,,16,3,,4,7,,2339,2062,,64.5,105.9,.320,.361,.538,50.8,54.1,11.8,10.1,.501,15.3,31.5,.239,2022
Texas A&M-Corpus Christi,35,23,12,.657,-6.78,-9.10,,7,7,,9,4,,7,6,,2682,2454,,72.3,105.5,.364,.313,.537,53.0,56.0,11.7,5.6,.495,16.5,34.6,.269,2022
Texas Christian,34,21,13,.618,13.72,10.16,,8,10,,12,4,,4,6,,2328,2207,,67.2,101.1,.314,.317,.516,56.0,53.8,9.5,11.2,.487,17.9,37.8,.212,2022
Texas Southern,32,19,13,.594,-3.30,-6.24,,13,5,,7,2,,8,10,,2209,2115,,69.7,98.6,.336,.309,.514,53.2,42.7,7.9,13.6,.482,18.2,33.0,.228,2022
Texas Tech,37,27,10,.730,20.08,8.65,,12,6,,18,0,,3,7,,2667,2244,,67.3,106.0,.351,.341,.556,54.6,52.2,11.8,12.0,.526,17.2,33.2,.245,2022
UAB,35,27,8,.771,10.90,-0.14,,14,4,,16,2,,7,4,,2811,2336,,70.4,112.9,.284,.332,.560,53.1,43.8,13.4,11.6,.530,13.8,33.7,.210,2022
UCLA,35,27,8,.771,19.30,8.36,,15,5,,14,1,,8,4,,2639,2256,,66.5,111.4,.294,.312,.539,52.5,50.3,10.3,9.6,.505,11.3,31.4,.218,2022
Vermont,34,28,6,.824,7.81,-5.70,,17,1,,16,0,,10,4,,2544,2065,,65.1,114.4,.265,.430,.594,54.7,55.0,7.8,7.2,.570,13.2,24.3,.197,2022
Villanova,38,30,8,.789,19.31,10.29,,16,4,,12,1,,8,5,,2726,2383,,63.6,112.4,.298,.463,.560,51.5,48.9,9.4,6.8,.515,13.4,31.2,.247,2022
Virginia Tech,36,23,13,.639,14.48,6.48,,11,9,,11,4,,7,6,,2549,2261,,63.6,111.0,.245,.411,.576,51.4,55.2,8.4,9.3,.551,15.0,27.9,.184,2022
Wisconsin,33,25,8,.758,13.13,9.16,,15,5,,12,4,,9,2,,2308,2177,,67.0,104.4,.324,.360,.518,50.1,44.8,7.9,7.8,.477,11.4,26.0,.241,2022
Wright State,36,22,14,.611,-1.94,-5.11,,15,7,,12,3,,7,7,,2729,2585,,70.0,108.3,.318,.327,.554,50.9,51.3,8.4,7.6,.516,15.2,30.8,.244,2022
Wyoming,34,25,9,.735,9.36,3.60,,13,5,,14,1,,8,5,,2466,2227,,66.3,107.8,.359,.431,.565,52.0,44.7,5.8,5.4,.531,15.0,25.5,.260,2022
Yale,31,19,12,.613,-0.10,-1.34,,11,3,,10,3,,6,6,,2226,2143,,70.3,101.8,.321,.359,.537,50.2,46.7,8.8,9.3,.501,16.1,25.7,.236,2022
Alabama,37,31,6,.838,23.19,9.65,,16,2,,15,0,,9,3,,3027,2526,,72.6,110.4,.366,.472,.557,54.4,54.3,8.2,11.3,.521,15.9,34.2,.266,2023
Arizona,35,28,7,.800,19.08,8.34,,14,6,,15,2,,6,4,,2866,2490,,72.7,112.6,.358,.377,.591,54.2,64.7,8.4,8.1,.565,16.2,30.7,.253,2023
Arizona State,36,23,13,.639,11.29,8.18,,11,9,,10,5,,7,6,,2559,2447,,69.0,101.9,.312,.393,.515,48.8,56.6,10.2,13.3,.484,14.5,29.2,.215,2023
Arkansas,36,22,14,.611,15.99,9.87,,8,10,,14,3,,2,8,,2666,2446,,70.2,105.1,.393,.277,.545,51.7,48.1,11.9,13.1,.509,15.8,30.7,.274,2023
Auburn,34,21,13,.618,14.35,9.29,,10,8,,14,2,,4,8,,2474,2302,,68.7,105.6,.363,.352,.530,50.4,54.7,11.2,13.6,.495,15.1,32.8,.253,2023
Baylor,34,23,11,.676,17.30,10.54,,11,7,,14,3,,5,5,,2619,2389,,67.8,113.3,.368,.449,.570,51.5,54.9,9.6,6.9,.532,15.2,34.4,.274,2023
Boise State,34,24,10,.706,12.78,6.21,,13,5,,14,1,,6,6,,2451,2198,,66.8,106.8,.303,.378,.553,52.6,43.8,7.5,8.0,.521,14.6,27.4,.222,2023
Colgate,35,26,9,.743,2.20,-5.86,,17,1,,14,2,,11,4,,2733,2426,,68.2,114.5,.269,.348,.594,51.7,61.1,10.4,7.7,.581,13.4,25.5,.178,2023
College of Charleston,35,31,4,.886,8.40,-4.02,,16,2,,17,1,,11,2,,2804,2353,,70.7,112.5,.328,.477,.551,54.3,49.8,10.4,7.7,.515,14.1,35.2,.244,2023
Connecticut,39,31,8,.795,22.95,8.51,,13,7,,15,2,,6,5,,3064,2501,,68.4,114.9,.308,.417,.573,56.7,63.2,9.2,12.7,.539,15.8,38.4,.234,2023
Creighton,37,24,13,.649,17.83,9.80,,14,6,,13,2,,5,6,,2828,2531,,69.3,109.6,.284,.417,.576,52.7,57.3,7.2,9.2,.542,14.9,25.3,.222,2023
Drake,35,27,8,.771,7.84,-1.14,,15,5,,14,1,,6,6,,2617,2236,,67.0,109.2,.279,.370,.569,52.2,50.2,7.8,7.4,.537,13.8,24.3,.214,2023
Duke,36,27,9,.750,15.83,7.44,,14,6,,16,0,,4,6,,2592,2290,,65.5,109.5,.299,.353,.548,55.7,56.2,8.6,12.2,.511,15.4,35.9,.229,2023
FDU,37,21,16,.568,-8.98,-9.83,,10,6,,10,5,,8,9,,2863,2744,,69.8,109.7,.271,.379,.549,50.3,52.2,11.3,6.0,.517,14.0,31.9,.204,2023
Florida Atlantic,39,35,4,.897,13.92,2.30,,18,2,,17,0,,11,3,,3035,2547,,68.5,112.8,.294,.440,.572,54.2,51.8,9.4,6.7,.547,14.8,31.6,.212,2023
Furman,36,28,8,.778,4.89,-2.90,,15,3,,14,2,,8,3,,2911,2563,,69.4,115.4,.341,.464,.588,51.2,59.1,9.4,8.4,.557,13.8,28.8,.253,2023
Gonzaga,37,31,6,.838,18.99,8.04,,14,2,,15,1,,7,2,,3187,2715,,71.9,119.5,.337,.323,.602,54.0,50.7,10.0,9.3,.582,13.0,31.4,.233,2023
Grand Canyon,36,24,12,.667,4.43,1.27,,10,7,,14,4,,5,5,,2706,2421,,66.9,111.5,.358,.418,.573,52.1,48.4,7.3,8.1,.542,15.4,30.8,.256,2023
Houston,37,33,4,.892,22.20,4.79,,17,1,,16,2,,11,0,,2770,2126,,64.8,115.5,.289,.379,.553,55.1,53.9,12.2,16.7,.523,12.9,37.1,.212,2023
Howard,35,22,13,.629,-5.04,-5.14,,11,3,,12,2,,6,8,,2634,2542,,71.8,104.4,.333,.370,.558,51.7,56.0,10.0,8.5,.527,19.5,34.1,.237,2023
Illinois,33,20,13,.606,14.81,7.65,,11,9,,15,2,,3,7,,2452,2216,,69.5,105.7,.343,.419,.542,52.8,46.8,9.9,13.8,.514,15.8,31.6,.233,2023
Indiana,35,23,12,.657,14.94,8.88,,12,8,,15,2,,5,7,,2616,2404,,68.4,109.0,.295,.266,.561,51.0,53.6,8.5,13.6,.535,14.7,28.1,.209,2023
Iona,35,27,8,.771,7.61,-2.76,,17,3,,11,1,,8,4,,2660,2297,,68.8,110.1,.290,.320,.548,50.4,53.1,10.8,14.6,.516,13.1,31.6,.212,2023
Iowa,33,19,14,.576,14.08,8.69,,11,9,,14,3,,4,7,,2642,2464,,69.6,113.7,.323,.375,.551,51.3,57.5,9.3,8.3,.517,11.9,32.1,.238,2023
Iowa State,33,19,14,.576,15.36,10.39,,9,9,,13,3,,3,8,,2231,2067,,65.7,102.2,.279,.338,.523,52.5,54.8,13.3,11.3,.499,16.7,33.9,.187,2023
Kansas,36,28,8,.778,19.20,11.84,,13,5,,15,1,,7,4,,2715,2450,,70.2,106.8,.298,.338,.555,50.8,58.9,12.5,10.2,.526,15.4,28.7,.215,2023
Kansas State,36,26,10,.722,15.79,9.48,,11,7,,16,1,,4,7,,2742,2515,,70.5,106.2,.361,.361,.562,50.5,63.6,11.2,7.7,.523,17.0,29.9,.270,2023
Kennesaw State,35,26,9,.743,0.60,-2.06,,15,3,,15,1,,10,6,,2626,2415,,69.8,106.4,.358,.387,.555,50.9,53.9,11.2,8.0,.531,15.5,27.9,.237,2023
Kent State,35,28,7,.800,7.53,-1.22,,15,3,,15,0,,9,6,,2665,2305,,69.7,108.9,.308,.384,.546,50.5,45.1,12.6,12.1,.514,14.0,31.0,.224,2023
Kentucky,34,22,12,.647,14.76,8.08,,12,6,,14,4,,6,4,,2532,2305,,66.8,110.7,.319,.300,.538,56.7,55.1,9.6,10.0,.506,14.5,39.2,.225,2023
Louisiana,34,26,8,.765,4.27,-0.51,,13,5,,14,0,,7,7,,2630,2362,,69.2,111.4,.365,.322,.568,54.5,51.5,10.3,7.5,.542,15.2,34.0,.249,2023
Marquette,36,29,7,.806,17.07,8.01,,17,3,,16,1,,9,4,,2856,2530,,69.3,112.9,.270,.420,.582,47.3,59.1,13.0,8.4,.560,13.6,26.2,.194,2023
Maryland,35,22,13,.629,14.58,8.35,,11,9,,16,1,,2,9,,2440,2222,,64.5,107.7,.343,.369,.545,51.1,46.2,8.4,10.1,.508,14.3,30.0,.251,2023
Memphis,35,26,9,.743,14.50,6.90,,13,5,,13,2,,7,5,,2778,2512,,72.2,108.7,.354,.291,.567,50.4,54.4,11.8,13.1,.530,16.0,31.2,.265,2023
Miami (FL),37,29,8,.784,13.98,6.84,,15,5,,16,1,,7,4,,2925,2661,,68.9,114.3,.307,.342,.579,52.0,50.6,10.5,8.4,.543,14.0,31.8,.241,2023
Michigan State,34,21,13,.618,14.25,11.25,,11,8,,12,2,,5,7,,2411,2309,,65.4,106.8,.272,.330,.549,52.2,56.5,7.1,8.4,.517,14.4,27.6,.206,2023
Mississippi State,34,21,13,.618,11.43,6.69,,8,10,,12,4,,4,6,,2234,2073,,64.9,99.8,.338,.346,.497,53.1,59.1,13.1,11.3,.467,16.2,35.5,.219,2023
Missouri,35,25,10,.714,11.41,6.89,,11,7,,16,3,,5,5,,2762,2604,,70.0,112.0,.291,.432,.580,44.7,56.5,14.5,8.5,.550,14.1,26.3,.220,2023
Montana State,35,25,10,.714,2.18,-1.43,,15,3,,12,1,,10,5,,2588,2342,,67.9,108.1,.434,.342,.572,51.8,49.8,9.6,8.4,.526,15.5,26.6,.327,2023
NC State,34,23,11,.676,12.50,5.58,,12,8,,15,2,,4,6,,2643,2408,,69.8,110.9,.253,.371,.541,51.2,44.2,11.2,11.8,.515,11.6,30.4,.182,2023
Nevada,33,22,11,.667,10.01,6.41,,12,6,,14,1,,6,7,,2397,2238,,66.4,107.3,.395,.378,.563,49.9,59.3,8.8,9.5,.512,13.7,22.9,.313,2023
Northern Kentucky,35,22,13,.629,-0.83,-2.89,,14,6,,14,3,,6,6,,2372,2224,,63.5,104.8,.278,.414,.525,49.1,55.0,14.5,8.1,.497,14.9,32.2,.194,2023
Northwestern,34,22,12,.647,13.68,8.71,,12,8,,13,5,,7,4,,2303,2134,,65.0,103.5,.297,.410,.513,49.6,54.2,12.0,12.7,.473,12.7,28.5,.225,2023
Oral Roberts,35,30,5,.857,8.55,-2.84,,18,0,,16,0,,11,4,,2915,2458,,71.5,116.5,.246,.460,.585,50.0,48.6,9.5,14.0,.558,11.7,25.4,.190,2023
Penn State,37,23,14,.622,13.04,9.02,,10,10,,13,4,,4,7,,2673,2524,,64.4,110.4,.213,.471,.575,48.2,51.9,6.6,5.8,.554,12.5,19.2,.157,2023
Pittsburgh,36,24,12,.667,10.59,5.20,,14,6,,14,3,,7,5,,2704,2510,,68.1,110.4,.329,.434,.562,51.1,54.4,7.6,11.4,.525,14.3,29.5,.249,2023
Princeton,32,23,9,.719,4.76,-0.97,,10,4,,12,3,,7,4,,2416,2192,,69.0,108.1,.302,.418,.554,54.2,49.6,7.0,8.3,.526,15.0,29.1,.215,2023
Providence,33,21,12,.636,12.89,6.55,,13,7,,15,2,,6,6,,2552,2343,,68.2,111.2,.363,.319,.551,54.0,53.5,9.9,11.2,.511,14.3,34.8,.269,2023
Purdue,35,29,6,.829,18.23,8.31,,15,5,,14,2,,8,3,,2543,2196,,64.2,112.8,.372,.384,.558,58.1,61.3,7.4,9.9,.518,14.6,38.4,.277,2023
Saint Mary's,35,27,8,.771,17.41,7.18,,14,2,,16,2,,6,2,,2473,2105,,63.8,109.6,.320,.369,.550,55.3,49.1,10.6,9.9,.522,14.2,32.9,.222,2023
San Diego State,39,32,7,.821,15.81,8.92,,15,3,,15,1,,8,2,,2775,2475,,66.6,106.1,.327,.346,.533,53.0,51.1,10.0,11.7,.498,14.8,31.9,.236,2023
Southeast Missouri State,36,19,17,.528,-7.40,-6.81,,10,8,,9,4,,5,11,,2789,2734,,73.8,103.2,.378,.399,.540,49.2,51.9,9.3,8.6,.503,15.4,26.5,.268,2023
Southern California,33,22,11,.667,13.06,8.00,,14,6,,15,2,,5,5,,2391,2224,,68.3,105.6,.332,.330,.550,49.6,52.0,10.0,13.4,.512,15.9,28.8,.248,2023
Tennessee,36,25,11,.694,20.84,7.98,,11,7,,14,2,,4,6,,2547,2084,,65.9,107.0,.307,.401,.530,54.6,66.2,12.5,11.8,.499,15.2,36.4,.217,2023
Texas,38,29,9,.763,20.56,10.43,,12,6,,17,1,,4,6,,2963,2578,,70.1,110.1,.305,.345,.565,49.8,56.7,11.1,9.8,.533,14.3,28.3,.228,2023
Texas A&M,35,25,10,.714,13.76,7.42,,15,3,,15,1,,7,4,,2549,2327,,67.1,108.5,.451,.345,.543,53.4,52.6,10.0,7.9,.488,15.5,36.7,.343,2023
Texas A&M-Corpus Christi,35,24,11,.686,-2.57,-7.02,,14,4,,13,2,,8,7,,2803,2561,,71.7,110.9,.348,.342,.559,52.6,55.2,11.7,5.3,.513,15.2,33.7,.276,2023
Texas Christian,35,22,13,.629,15.61,8.78,,9,9,,13,4,,3,7,,2634,2395,,70.9,105.8,.341,.299,.533,50.7,58.5,11.3,12.5,.500,14.4,32.2,.238,2023
Texas Southern,35,14,21,.400,-10.56,-5.05,,7,11,,7,6,,3,13,,2422,2518,,70.9,95.6,.338,.281,.498,51.4,46.1,9.3,8.9,.466,17.4,31.0,.225,2023
UC Santa Barbara,35,27,8,.771,3.30,-2.03,,15,5,,12,3,,10,4,,2510,2305,,65.5,109.1,.343,.296,.575,51.3,53.6,9.7,6.7,.545,15.4,26.7,.250,2023
UCLA,37,31,6,.838,22.11,8.66,,18,2,,17,0,,9,2,,2743,2245,,67.2,110.3,.274,.290,.540,52.2,52.1,12.5,11.6,.511,12.8,33.0,.200,2023
UNC Asheville,35,27,8,.771,-1.74,-4.35,,16,2,,13,0,,10,6,,2604,2418,,69.3,105.8,.408,.374,.577,50.5,49.7,9.0,10.0,.547,18.0,26.3,.284,2023
Utah State,35,26,9,.743,14.23,6.81,,13,5,,14,2,,6,4,,2736,2446,,69.2,112.6,.343,.425,.596,53.0,61.8,7.2,8.6,.562,15.6,27.3,.262,2023
Vermont,34,23,11,.676,1.63,-3.13,,14,2,,13,1,,9,6,,2471,2276,,65.5,109.7,.285,.429,.573,49.1,51.6,8.9,8.3,.551,12.8,20.3,.198,2023
Virginia,33,25,8,.758,13.28,5.98,,15,5,,15,1,,6,5,,2237,1996,,62.5,108.1,.347,.356,.544,50.2,65.4,10.9,13.8,.512,12.1,25.6,.244,2023
Virginia Commonwealth,35,27,8,.771,9.89,1.95,,15,3,,15,3,,8,3,,2480,2202,,68.3,103.8,.416,.327,.555,50.1,52.8,13.0,12.8,.520,17.3,28.9,.289,2023
West Virginia,34,19,15,.559,15.95,10.89,,7,11,,13,4,,3,8,,2583,2411,,69.6,108.8,.394,.363,.557,52.0,50.1,9.6,8.6,.515,16.0,34.0,.292,2023
Xavier,37,27,10,.730,16.03,9.16,,15,5,,15,2,,7,4,,2995,2741,,72.0,112.1,.314,.312,.578,53.9,63.6,8.8,7.9,.552,15.0,30.7,.223,2023
Akron,35,24,11,.686,2.77,-2.08,,13,5,,13,1,,7,6,,2577,2316,,66.9,109.6,.318,.428,.555,53.0,49.7,8.4,8.0,.523,14.5,30.6,.231,2024
Alabama,37,25,12,.676,20.69,11.80,,13,5,,14,2,,5,5,,3335,3006,,73.9,121.1,.353,.465,.599,52.6,51.7,9.3,11.0,.563,13.6,35.0,.273,2024
Arizona,36,27,9,.750,24.54,9.45,,15,5,,15,1,,7,4,,3137,2594,,73.3,116.8,.364,.334,.576,56.6,59.2,11.2,9.5,.545,13.6,35.6,.261,2024
Auburn,35,27,8,.771,22.46,7.66,,13,5,,15,1,,5,5,,2909,2391,,70.9,117.2,.383,.375,.580,52.3,61.6,10.4,15.9,.542,13.0,32.9,.287,2024
Baylor,35,24,11,.686,19.50,10.71,,11,7,,15,2,,4,5,,2814,2489,,66.8,117.8,.395,.386,.592,54.6,53.2,9.9,8.6,.558,15.0,35.8,.289,2024
Boise State,33,22,11,.667,13.31,7.35,,13,5,,13,3,,7,3,,2479,2221,,66.9,111.4,.359,.397,.554,55.6,47.1,8.5,6.8,.516,14.1,34.1,.264,2024
Brigham Young,34,23,11,.676,19.33,7.86,,10,8,,16,2,,3,7,,2768,2378,,69.9,116.4,.254,.504,.573,54.2,63.4,8.5,7.6,.548,13.1,32.8,.188,2024
Clemson,36,24,12,.667,16.20,10.04,,11,9,,12,4,,6,6,,2785,2563,,67.8,113.4,.307,.399,.575,51.6,53.8,6.7,10.9,.539,13.0,27.2,.240,2024
Colgate,35,25,10,.714,-0.31,-5.55,,16,2,,13,3,,10,5,,2498,2242,,66.4,107.5,.273,.383,.559,51.9,56.6,9.8,10.1,.538,14.1,25.3,.186,2024
College of Charleston,35,27,8,.771,4.09,-2.38,,15,3,,13,2,,10,2,,2832,2575,,70.4,114.6,.275,.471,.550,53.1,53.3,8.9,8.1,.522,11.9,33.6,.198,2024
Colorado,37,26,11,.703,15.95,8.36,,13,7,,16,1,,4,7,,2935,2654,,69.0,113.8,.351,.306,.593,55.0,57.2,8.6,5.5,.554,15.9,31.9,.275,2024
Colorado State,36,25,11,.694,13.40,7.28,,10,8,,15,2,,4,7,,2707,2422,,66.7,111.9,.317,.386,.581,50.5,66.1,9.3,8.4,.549,13.9,25.0,.239,2024
Connecticut,40,37,3,.925,26.70,8.70,,18,2,,16,0,,9,3,,3256,2536,,66.0,123.3,.319,.402,.597,56.3,63.6,9.3,14.2,.569,12.3,36.7,.237,2024
Creighton,35,25,10,.714,20.07,9.53,,14,6,,14,2,,8,5,,2815,2446,,67.6,116.2,.247,.485,.600,53.1,57.9,5.5,8.5,.573,13.7,26.1,.194,2024
Dayton,33,25,8,.758,13.45,5.73,,14,4,,15,0,,6,5,,2448,2193,,64.8,114.1,.367,.443,.595,50.6,58.1,8.5,11.1,.563,14.3,26.3,.272,2024
Drake,35,28,7,.800,11.08,1.84,,16,4,,16,0,,6,5,,2797,2463,,68.4,113.9,.328,.394,.582,51.2,56.4,9.2,4.6,.549,12.3,24.2,.247,2024
Duke,36,27,9,.750,20.67,8.36,,15,5,,15,3,,7,4,,2830,2387,,67.1,117.1,.343,.375,.576,53.7,54.9,9.7,9.8,.546,12.4,32.1,.248,2024
Duquesne,37,25,12,.676,7.35,4.68,,10,8,,13,4,,5,6,,2611,2467,,66.9,105.5,.323,.389,.536,50.4,54.0,11.2,12.6,.503,15.1,30.5,.232,2024
Florida,36,24,12,.667,15.17,8.81,,11,7,,14,1,,3,7,,3080,2851,,73.1,115.1,.384,.345,.554,54.1,50.7,9.0,12.1,.518,13.1,37.3,.275,2024
Florida Atlantic,34,25,9,.735,13.26,4.61,,14,4,,13,1,,5,5,,2789,2495,,69.1,116.2,.349,.391,.577,52.8,50.9,10.2,7.8,.547,13.8,33.4,.251,2024
Gonzaga,35,27,8,.771,17.93,4.02,,14,2,,13,2,,8,2,,2959,2420,,69.8,121.1,.305,.312,.598,55.0,52.2,9.5,9.8,.574,12.1,33.9,.220,2024
Grambling,36,21,15,.583,-9.63,-5.48,,14,4,,9,3,,7,9,,2436,2506,,66.9,100.1,.384,.280,.527,49.0,41.2,10.9,8.6,.487,17.0,29.8,.272,2024
